"INSEE_COM","ACT","IND","SACT","SACT_IND"
"46001",99.4712041470833,4.93615253113727,19.0557862350734,4.96239346196958
"46002",28.7671232876713,0,42.936004906972,0
"46003",171.924746743849,15.629522431259,24.3519471308569,9.09090909090909
"46004",85,35,38.8127853881279,41.1764705882353
"46005",73.4234234234233,4.89489489489489,22.3171499767244,6.66666666666667
"46006",101.657824933687,0,26.9649403007127,0
"46007",303.789509991352,70.884218997982,30.747926112485,23.3333333333333
"46008",24.6212121212121,4.92424242424242,12.1286759217794,20
"46009",176.767524131469,64.0024944039457,27.5338822634687,36.2071566699913
"46010",122.972972972973,9.83783783783784,33.5076220634804,8
"46011",98.67747331884,14.7183404785103,27.5635400331955,14.9156033119671
"46012",183.218858149058,43.3990301282246,33.2520613700649,23.6869886466148
"46013",44.2541436464088,4.9171270718232,24.8618784530386,11.1111111111111
"46015",403.338187522313,100.006326396365,27.4566499334454,24.7946585496154
"46016",108.564655191202,5.16974548529534,27.6245941962346,4.76190476190476
"46017",42.781690140845,9.50704225352112,30.127950803412,22.2222222222222
"46018",30,15,21.2765957446809,50
"46020",70.301724137931,5.02155172413793,30.3024673008323,7.14285714285714
"46021",235,50,33.1452750352609,21.2765957446809
"46022",26.8117408421198,0,12.355640941069,0
"46023",115,5,22.2437137330754,4.34782608695652
"46024",150.503419689263,35.183943925432,37.2533217052632,23.3775046428011
"46026",19.8039215686274,0,18.3369644153958,0
"46027",35,0,29.9145299145299,0
"46028",245.813734713089,37.8174976481675,23.7501192959506,15.3846153846154
"46029",648.071424123196,303.120567762811,31.0082021111577,46.7727099945683
"46030",106.220930232558,10.1162790697674,30.8781773931855,9.52380952380952
"46031",20,0,14.9253731343284,0
"46032",104.2125,29.775,26.053125,28.5714285714286
"46033",145.221199702037,15.0625410345904,25.1683188391746,10.3721364824802
"46034",87.921875,15.515625,27.2203947368421,17.6470588235294
"46035",60.3260869565218,15.0815217391304,32.7859168241966,25
"46036",33.0952380952381,5.51587301587302,25.0721500721501,16.6666666666667
"46037",22.8260869565217,0,25.9387351778656,0
"46038",350,115,25.7542310522443,32.8571428571429
"46039",35.5162100872508,0,16.5191674824422,0
"46040",60,0,26.3157894736842,0
"46041",35,10,22.2929936305732,28.5714285714286
"46042",4836.6703408158,383.008546656282,24.2963296368906,7.91884746463162
"46043",93.6363636363636,39.4258373205742,45.6762749445676,42.1052631578947
"46044",186.56864944934,20.0174638037848,31.4618295867353,10.729275182549
"46045",301.032687533524,29.6432656270356,26.8779185297789,9.84719163553774
"46046",165.361050328228,45.0984682713348,36.184037270947,27.2727272727273
"46047",44.4674556213017,9.88165680473372,26.4687235841082,22.2222222222222
"46049",44.7836538461539,0,21.8456848030019,0
"46050",45.2952313859226,5.03280348732474,30.8130825754576,11.1111111111111
"46051",115.661072364352,20.1102123628831,31.0083303925876,17.3871916901587
"46052",70,20,27.2373540856031,28.5714285714286
"46053",125,25,29.5508274231678,20
"46054",115,10,30.4232804232804,8.69565217391304
"46055",280,50,25.3853127833182,17.8571428571429
"46056",35.7070707070707,5.1010101010101,34.006734006734,14.2857142857143
"46057",153.866584079218,34.8900372933084,25.224030176921,22.6755130115486
"46058",80,10,19.4647201946472,12.5
"46059",54.2600896860987,4.93273542600897,24.441481840585,9.09090909090909
"46060",57.6101815655602,9.60169692759336,25.8341621370225,16.6666666666667
"46061",55,5,30.5555555555556,9.09090909090909
"46062",107.387264700447,20.461547442403,25.0904824066465,19.0539795379645
"46063",423.898242026628,20.4288309410423,22.8393449367795,4.81927710843374
"46064",230.122630540798,43.1966876197674,26.2098668041911,18.7711601932645
"46065",116.396457857239,37.0352365909396,25.9234872733271,31.8181818181818
"46066",114.048206900933,10.0532614101161,18.0456023577425,8.8149228149188
"46068",50,5,29.2397660818713,10
"46069",49.1228070175439,0,29.2397660818714,0
"46070",201.44804088586,28.1090289608177,35.4038736179017,13.953488372093
"46072",35.9180327868853,5.13114754098361,11.6239588307072,14.2857142857143
"46073",100.721941393334,15.108291209,23.9244516373714,15
"46074",90,25,21.7917675544794,27.7777777777778
"46075",65,20,28.1385281385281,30.7692307692308
"46076",80,40,23.121387283237,50
"46078",25,0,25.7731958762887,0
"46079",25,5,24.5098039215686,20
"46080",275,45,35.8072916666667,16.3636363636364
"46081",30,0,39.4736842105263,0
"46082",85.4735376044568,0,23.8087848480381,0
"46083",329.099442231571,20.1866959944718,29.1496405873845,6.13391984428446
"46084",72.8503184713375,24.2834394904459,23.200738366668,33.3333333333333
"46085",61.5319148936171,10.2553191489362,25.8537457536206,16.6666666666667
"46086",196.839888623124,33.6068102527284,31.7483691327619,17.0731707317073
"46087",157.262090483619,15.2340093603744,23.7556027920875,9.68701949308071
"46088",358.539922646739,80.8386029453856,43.7777683329351,22.5466113644014
"46089",215,20,22.466039707419,9.30232558139535
"46090",35.5035971223022,0,24.6552757793765,0
"46091",55,0,26.1904761904762,0
"46092",55.7524591851062,5.0684053804642,25.1137203536514,9.09090909090909
"46093",25.561797752809,15.3370786516854,28.7211210705719,60
"46094",75,10,27.9850746268657,13.3333333333333
"46095",255,40,24.4019138755981,15.6862745098039
"46096",35,0,36.0824742268041,0
"46097",20.1851851851852,0,18.6899862825789,0
"46098",75,15,25.5102040816327,20
"46100",186.702467802389,40.5335857322201,27.7831053277365,21.7102570787237
"46101",130,30,28.7610619469027,23.0769230769231
"46102",2468.62680496395,786.88261273005,25.2467458065448,31.8753167205255
"46103",268.384845463609,19.8803589232303,26.8384845463609,7.4074074074074
"46104",25.78125,0,26.85546875,0
"46105",250,50,32.2164948453608,20
"46106",64.2323651452282,5.35269709543568,25.6929460580913,8.33333333333333
"46107",38.3529411764706,4.79411764705882,23.1041814316088,12.5
"46108",129.149028223435,35.1373144081605,31.888648944058,27.2067973654211
"46109",160.438179062866,31.0388964753699,32.8766760374726,19.3463280727012
"46111",53.6666666666667,9.75757575757576,32.5252525252525,18.1818181818182
"46112",68.1415929203539,4.86725663716814,29.4985250737463,7.14285714285714
"46113",84.7038708110014,4.98844282487939,27.7717609216398,5.889273745246
"46114",85.7034195216938,20.1600714591433,23.8065054226927,23.5230654408605
"46115",55.6666666666667,20.2424242424242,33.7373737373737,36.3636363636364
"46116",34.0140845070422,4.85915492957746,47.9071612775243,14.2857142857143
"46117",160.238805970149,45.0671641791044,23.9162396970372,28.125
"46118",183.621460506706,24.8137108792846,27.3653443378102,13.5135135135135
"46119",91.6666666666666,4.82456140350877,32.1637426900585,5.26315789473684
"46120",90.7589285714285,19.1071428571428,27.5863004776378,21.0526315789474
"46121",29.8064516129032,0,19.8709677419355,0
"46122",35,10,33.6538461538462,28.5714285714286
"46123",95.1237062552067,25.1046855305165,25.6398130067943,26.3916183660499
"46124",86.2066948995212,30.4258923174781,28.3574654274741,35.2941176470588
"46125",100,0,30.5810397553517,0
"46126",55,10,24.3362831858407,18.1818181818182
"46127",824.598157268637,77.2419076721523,20.6925509979583,9.36721807965288
"46128",875.320245419634,229.470322894065,25.2399148044877,26.2155849924454
"46129",64.0806014674459,9.85855407191476,22.4058047088972,15.3846153846154
"46130",54.8583374486428,0,24.6001513222613,0
"46131",40,10,23.2558139534884,25
"46132",144.161849710983,14.9132947976878,27.7768496552953,10.3448275862069
"46133",81.7264419905264,18.1614315534503,32.3029414982318,22.2222222222222
"46134",70.5179323341106,15.1089530941111,25.8307444447291,21.4256893161949
"46135",25.5208333333334,0,52.0833333333334,0
"46136",85,10,31.5985130111524,11.7647058823529
"46137",492.765273311897,19.7106109324759,39.900022130518,4
"46138",307.746258349531,4.96927803379416,32.8788737552918,1.61473223442092
"46139",67.5870646766169,0,32.9692998422522,0
"46140",109.689265536723,4.98587570621469,30.9856682307128,4.54545454545454
"46142",64.601226993865,4.96932515337423,38.9164018035331,7.69230769230769
"46143",275.545786851847,48.9227610799772,21.6965186497517,17.7548572376763
"46144",65,5,25.0965250965251,7.69230769230769
"46145",248.563496204022,34.6043820151581,31.2658485791223,13.9217473778831
"46146",33.95,0,35.3645833333333,0
"46147",19.6825396825397,0,15.6210632401109,0
"46148",528.348448249573,44.6594857586935,30.4523601296584,8.4526576933558
"46149",196.823134738676,14.7675853045796,28.2386133054055,7.50297231277546
"46151",60.6410256410256,11.025641025641,49.3016468626224,18.1818181818182
"46152",48.671096345515,4.8671096345515,16.1697994503372,10
"46153",162.370272509748,19.7638015451696,27.7082376296498,12.1720566453955
"46154",125.693935529167,15.1000013940478,35.9125530083333,12.0133094174173
"46155",19.7122302158273,4.92805755395683,14.1814605869261,25
"46156",360.703413028248,35.2015742015715,29.2304224496149,9.75914641506727
"46157",29.7761194029851,0,22.2209846290933,0
"46159",63.8497649243692,4.91152037879763,28.6321815804346,7.69230769230769
"46160",97.1599781594591,20.4547322440966,22.49073568506,21.0526315789474
"46161",58.3266129032258,10.6048387096774,22.7838331653226,18.1818181818182
"46162",71.2311557788944,0,35.7945506426605,0
"46163",85,35,29.2096219931271,41.1764705882353
"46164",68.8709677419355,9.83870967741936,27.770551508845,14.2857142857143
"46165",148.408640336747,5.16268151738994,32.76128925756,3.47869336022186
"46167",20.2040816326531,0,19.6156132355855,0
"46168",55,20,29.7297297297297,36.3636363636364
"46169",65,10,31.7073170731707,15.3846153846154
"46170",219.185421219496,44.6825853885891,23.5683248623114,20.3857469807917
"46171",65.5726872246696,10.0881057268722,28.7599505371358,15.3846153846154
"46172",135,10,27,7.40740740740741
"46173",207.616516596417,29.5596769324938,28.2471451151587,14.2376326397743
"46174",66.4908256880734,5.11467889908257,28.6598386586523,7.69230769230769
"46175",260.283533260632,100.109051254089,28.3533260632497,38.4615384615385
"46176",254.600651768278,60.8135170720199,36.8986451838083,23.8858450085072
"46177",146.8359375,20.9765625,27.96875,14.2857142857143
"46178",40,0,15.3846153846154,0
"46179",19.84375,9.921875,15.5029296875,50
"46180",176.536690312716,24.5289964011574,30.4373603987441,13.8945600247217
"46181",35.3535353535353,5.05050505050505,35.7106417712478,14.2857142857143
"46182",467.997709443581,40.7500070091869,25.9710160623519,8.70730907158414
"46183",30,0,14.7783251231527,0
"46184",81.1235955056179,5.07022471910112,22.7875268274208,6.25
"46185",426.142869270902,94.2252534793201,26.4520713389759,22.1111885881212
"46186",105.961950518701,15.0710252632584,29.2712570493648,14.223053831572
"46187",133.981132075472,9.9245283018868,25.2794588821645,7.40740740740741
"46188",81.3333333333333,10.1666666666667,26.7543859649123,12.5
"46189",176.927905076595,25.4656218303026,35.0352287280386,14.3932195541897
"46190",29.0697674418605,0,22.8895806628823,0
"46191",295.539055740524,50.0963896761689,26.2235186992479,16.9508525871966
"46192",66.1904761904762,25.4578754578754,24.2455956741671,38.4615384615385
"46193",155.68486942065,30.1391617053706,34.0667110329649,19.3590821108869
"46194",59.3513513513514,14.8378378378378,32.6106326106326,25
"46195",135,5,37.7094972067039,3.7037037037037
"46196",20.377358490566,0,19.5936139332366,0
"46197",322.082929734718,34.1603107294398,30.7038064570751,10.6060606060606
"46198",27,4.5,25.7142857142857,16.6666666666667
"46199",59.668312213397,24.6743506894707,16.9512250606241,41.3525199124548
"46200",71.0486891385768,20.2996254681648,26.6099959320512,28.5714285714286
"46201",329.491119574024,52.6539896278774,18.9471604125373,15.9803971943007
"46202",150.953358187901,5.2473409952534,27.7998818025601,3.47613399148212
"46203",51.4150943396226,5.14150943396226,23.9139973672663,10
"46204",146.388888888889,30.3809523809524,24.561894108874,20.7535917592844
"46205",91.9185654898194,5.24266965406852,27.6863149065721,5.70360255964741
"46206",24.4047619047619,4.88095238095238,20.0039032006245,20
"46207",65,15,21.6666666666667,23.0769230769231
"46208",80.1144055464615,9.87288053888394,27.7212475939313,12.3234772467459
"46209",50.3164556962025,5.03164556962025,31.8458580355712,10
"46210",14.758064516129,4.91935483870968,22.7047146401985,33.3333333333333
"46211",131.728045325779,21.0764872521246,36.2887177206003,16
"46212",15,0,21.1267605633803,0
"46213",29.811320754717,4.9685534591195,19.2331101643335,16.6666666666667
"46214",78.3376623376624,4.8961038961039,20.5610662303576,6.25
"46215",157.146874636134,24.8046538828207,25.2242174375817,15.7843762023614
"46216",215.481108056515,28.1992930795846,32.4031741438369,13.0866660812737
"46217",138.42724300938,4.84347882947785,31.2476846522301,3.49893469246488
"46218",20.2167266873255,5.05418167183137,10.7535780251731,25
"46219",100,10,28.5714285714286,10
"46220",217.763819926267,25.4171555859692,27.8470357961978,11.6718909479891
"46221",180,20,34.0264650283554,11.1111111111111
"46222",55,10,28.9473684210526,18.1818181818182
"46223",36.026341916467,9.00658547911676,21.5726598302198,25
"46224",870.169007665328,82.641749331344,24.7558750402654,9.49720670391061
"46225",436.119899824355,20.0447773472448,18.2172055064476,4.59616205436113
"46226",60,15,26.0869565217391,25
"46227",51.6059966623909,5.16059966623909,23.0383913671388,10
"46228",209.138339952318,60.3001473928833,29.0873908139524,28.8326604326263
"46229",360,135,35.6435643564356,37.5
"46230",10.3488372093023,10.3488372093023,11.8952151831061,100
"46231",454.659811381518,74.5245352602457,23.1379038871002,16.3912739579505
"46232",269.386965709651,95.0302917951745,26.6719768029357,35.2764995681341
"46233",34.6902654867257,0,31.5366049879324,0
"46234",34.6464646464647,4.94949494949495,34.9964289358229,14.2857142857143
"46235",65,15,38.0116959064327,23.0769230769231
"46236",24.8091603053435,0,18.242029636282,0
"46237",135.404365172001,21.989201540238,35.7267454279686,16.2396548385317
"46238",73.9352440688201,14.8565288934318,27.1820750253015,20.0939742345384
"46239",51.6431924882629,0,23.9088854112328,0
"46240",210,20,34.3698854337152,9.52380952380952
"46241",24.7340425531915,4.9468085106383,13.1564056133997,20
"46242",34.4034090909091,19.6590909090909,19.5473915289256,57.1428571428572
"46243",50,5,25.6410256410256,10
"46244",20.2105263157895,5.05263157894737,21.2742382271468,25
"46245",19.75,0,25.3205128205128,0
"46246",26.3513513513514,0,34.6728307254623,0
"46247",50.9615384615385,5.09615384615385,32.6676528599606,10
"46249",48.3050847457627,4.83050847457627,41.2863972186006,10
"46250",33.2278481012658,4.74683544303797,42.0605672167921,14.2857142857143
"46251",812.799326008187,190.634419648736,23.3630159818392,23.4540572991095
"46252",80,0,25.7234726688103,0
"46253",47.2752808988764,0,26.5591465724025,0
"46254",45,10,31.9148936170213,22.2222222222222
"46255",89.1590214067283,20.9785932721714,26.0698893002129,23.5294117647059
"46256",74.6323529411764,4.97549019607843,37.6931075460487,6.66666666666667
"46257",24.4274809160305,4.88549618320611,19.6995813838956,20
"46258",39.0184049079754,0,24.2350341043326,0
"46259",35.7394366197183,5.1056338028169,25.1686173378298,14.2857142857143
"46260",82.3762376237624,10.2970297029703,38.4935689830665,12.5
"46262",155.952246843191,4.94349076334872,24.4439258374907,3.16987466574905
"46263",199.45195853588,39.9039085181211,28.906080947229,20.0067769757912
"46264",54.3,9.05,28.4293193717278,16.6666666666667
"46265",69.2526082709323,19.0525629294992,21.0494250063624,27.5116900362238
"46266",217.088846880907,54.2722117202268,41.0375892024399,25
"46267",175,25,30.9734513274336,14.2857142857143
"46268",285.444711538461,50.0721153846154,32.5107871911687,17.5417912333151
"46269",10.4761904761905,0,16.6288737717309,0
"46270",39.1735537190082,0,16.1874188921522,0
"46271",136.188118811881,43.7747524752475,34.2181203044927,32.1428571428571
"46272",101.845018450184,26.5682656826568,39.7832103321033,26.0869565217391
"46273",268.579768717004,63.1952396981185,30.9423696678576,23.5294117647059
"46276",45,0,24.3243243243243,0
"46277",39.8104265402844,4.97630331753555,19.1396281443675,12.5
"46279",62.9777777777777,4.84444444444444,29.4288681204569,7.69230769230769
"46280",40,5,22.4719101123596,12.5
"46281",59.4117647058823,19.8039215686274,29.1234140715109,33.3333333333333
"46282",20,0,21.2765957446809,0
"46283",100,10,31.5457413249211,10
"46284",100.350337241288,19.7152869701212,24.9008280995752,19.6464581107651
"46286",56.5624999999999,10.2840909090909,31.7766853932584,18.1818181818182
"46288",70,10,33.175355450237,14.2857142857143
"46289",33.8924050632911,9.68354430379746,21.450889280564,28.5714285714286
"46290",80.9467455621302,5.05917159763314,23.9487412905711,6.25
"46292",66.1538461538461,35.6213017751479,36.9574559518693,53.8461538461538
"46293",92.0496894409938,29.0683229813665,19.3788819875776,31.578947368421
"46294",25.3521126760564,10.1408450704225,17.853600476096,40
"46295",67.4728260869565,10.3804347826087,33.5685701925157,15.3846153846154
"46296",145.328798185952,5.01133786848112,32.8798185941069,3.44827586206897
"46297",235.674125071715,15.0430292598967,19.5094474397115,6.38297872340426
"46299",20,10,16.6666666666667,50
"46301",135.26333033112,35.0682708265868,26.3158230216187,25.9259259259259
"46302",25.9124087591241,5.18248175182482,18.7771077964667,20
"46303",10,10,7.8125,100
"46304",30,5,22.2222222222222,16.6666666666667
"46305",73.529411764706,0,24.2671325956125,0
"46306",15,5,17.4418604651163,33.3333333333333
"46307",144.316037735849,19.9056603773585,22.5493808962264,13.7931034482759
"46308",24.7549019607843,0,24.2695117262591,0
"46309",690.726370582231,51.173641598009,21.2989938508243,7.40867060785205
"46310",44.2622950819673,0,36.2805697393174,0
"46311",324.880174291939,65.9912854030502,24.2267094923146,20.3125
"46312",120,10,44.1176470588235,8.33333333333333
"46313",148.874239917107,56.4657039114901,34.6219162597923,37.928458236247
"46314",81.9957157882331,19.2931095972313,47.6719277838565,23.5294117647059
"46315",24.5738636363637,9.82954545454546,14.4552139037433,40
"46316",95,15,32.4232081911263,15.7894736842105
"46317",186.444906444907,29.4386694386695,39.0869824832089,15.7894736842105
"46318",30.7042253521127,5.11737089201878,13.5859404212888,16.6666666666667
"46319",74.5588235294118,24.8529411764706,43.8581314878893,33.3333333333333
"46320",61.1356466876971,10.1892744479495,19.1048895899053,16.6666666666667
"46321",50.1344086021505,10.0268817204301,13.4769915597179,20
"46322",274.661746617466,24.9692496924969,33.783732671275,9.09090909090909
"46323",20,10,20.6185567010309,50
"46324",60,20,27.7777777777778,33.3333333333333
"46328",55.2929347809752,15.2070940988922,17.0657206114121,27.5027798020309
"46329",88.9544194266672,10.3801460430884,27.3705905928207,11.669061649765
"46330",280,45,21.4888718342287,16.0714285714286
"46332",84.5029848082812,14.9052496764911,25.8418913786793,17.6387256737828
"46333",53.7428571428572,19.5428571428572,30.7102040816327,36.3636363636364
"46334",407.243456353948,25.4110341526335,25.6935934608169,6.23976487679842
"46335",120,15,30.2267002518892,12.5
"46336",95,15,27.2988505747126,15.7894736842105
"46337",65,10,25.390625,15.3846153846154
"46338",14.8170731707317,0,18.755788823711,0
"46339",150.654920756486,36.4129780772266,42.7996933967291,24.1697900701719
"46340",105.575342465753,10.0547945205479,28.9247513604804,9.52380952380952
